item_code,valuation_rate
OFC22-113,3214.29
OFC22-114,1205.36
OFC22-115,1651.79
OFC22-116,1785.71
OFC22-117,178.57
OFC22-118,223.21
STORE-SUPPLIES00021,13000
ALSUR01,61.61
ALSURE01,21.43
ALSURE02,31.25
ALSURE03,294.64
100015,89.29
100018,111.61
101116,44.64
INSTR00177,51.79
ST6022,88.84
OFCCS,13.04
BI60,390.12
ALD04,19.27
BI125,602.47
CEC05,338.44
CEC10,322.32
CEC11,543.33
ELT01,9.34
ELT02,5.43
EML02,450.14
ILO01,272.46
ILO03,405.5
ILO04,198.1
KWE01,114.2
KWE02,212.23
KWE03,203.9
LAN01,4.73
LAN02,759.87
LAN05,169.91
NAR01,398.65
ORA11,6.14
OVE01,747.38
PRE03,3.43
SEN18,345.35
SEN32,588.66
STR08,15.28
STR16,47.23
THY01,14.17
THY02,9.13
THY03,3.52
XYL01,2192.38
XYL06,38.07
A2.510,1390.25
ASTA01,519.64
ASTI01,692.86
KS1024,33.11
Z300100,20.65
GRACI001,511.57
MED-000000014,19.38
M22-225,65.06
L350,6.83
ATC17,56.92
BI550,6.07
EV500,4.93
FA500,18.97
GA500,4.93
GR500,5.7
SQ500,7.59
VI400,5.31
FIO995,4.93
GIN400,4.93
GIN800,5.31
ROBS01,227.68
ROBS02,113.84
ROBS03,14.29
SPRU01,5.31
ERSMS01,43.75
f24-057,41.96
ROVIT01,12.14
22446,5.56
22447,10.63
22448,19.78
22449,301.13
22450,41.87
100580,49.11
100581,33.11
100583,59.91
100811,80.13
101179,14.82
101180,6.23
101181,14.82
101182,14.82
104169,15.02
104297,727.68
B.BRA00001,59.91
B.BRA00002,59.91
B.BRA00004,59.91
NF23-163,3570.54
NF23-187,26776.79
NF23-203,5883.93
nf23-265,3124.11
OFC23-116,2677.68
OFC24-043,11249.11
OFC24-074,3570.54
STORE-SUPPLIES00011,9999
ZT230,24824.5
AQUA01,4.42
OFC22-083,103125
OFC22-084,68303.57
OFC22-087,1607.14
OFC22-155,1607.14
OFC22-156,1607.14
OFC22-157,1071.43
BCR2,142.86
BTTF,31.25
RC9V,401.79
18650,267.86
B2450,133.93
BAA20,781.25
FUJI01,312.5
PNCH01,1696.43
PNHC01,1651.79
BTPAN01,294.64
NF22-143,22.32
NF22-305,22.32
NF23-030,1375
102817,8.93
BBO01,214.33
BER08,306.52
BER12,265.03
BER15,265.03
BIR01,423.55
BSD01,630.39
CAL71,6.25
CAL72,6.25
RAC06,60.54
ROG30,700.35
ROG61,20.01
ROG62,20.01
ADVP02,147.99
BER001,475.07
SUP6+1,93.34
SUPR13,209.72
SUPR14,18.89
TIFG01,0
1039655,1.34
COPFG01,0
M22-102,7.97
M23-089,188.74
M23-090,265.03
M23-091,8.53
M23-092,207.83
M23-129,44.5
M23-178,185.04
M23-179,257.31
m24-006,257.31
